tracking_id	uid	accountNameJa	accountNameEn	title	authors	authorsJa	journal	volume	number	pages	publicationDate	journalType	pubmedId	doi	description	url
tracking-2848	zhzjxx	張 歓	"Zhang,Huan"	An immune-suppressing protein in human endogenous retroviruses	Huan Zhang et al.		Bioinform Adv.					INTERNATIONAL	36818731		"Some primate ERVs appear to encode an overlooked protein. This protein is homologous to protein MC132 from Molluscum contagiosum virus, which is a human poxvirus, not a retrovirus. MC132 suppresses the immune system by targeting NF- 
κ
 B, and it had no known homologs until now. The ERV homologs of MC132 in the human genome are mostly disrupted by mutations, but there is an intact copy on chromosome 4. We found homologs of MC132 in ERVs of apes, monkeys and bushbaby, but not tarsiers, lemurs or non-primates. This suggests that some primate retroviruses had, or have, an extra immune-suppressing protein, which underwent horizontal genetic transfer between unrelated viruses."	
tracking-2883	knori321	則次 恒太	"Noritsugu,Kota"	無し	無し		無し					INTERNATIONAL			"我々が発見した新規ヒストン翻訳後修飾について、作製した抗体を用いたCUT&Tag法によるゲノムワイドな修飾部位探索を行った。
取得したfastqファイルをNIGのスーパーコンピュータをもちいてヒトゲノム上にマッピングし、下流の解析を進めた。
現在本結果を含む成果の論文化を進めている。"	
tracking-2863	moshikinnct	押木 守	"oshiki,mamoru"	Oxygen tolerance and detoxification mechanisms of highly enriched planktonic anaerobic ammonium-oxidizing (anammox) bacteria.	"Satoshi Okabe,Shaoyu Ye,Xi Lan,Keishi Nukada,Haozhe Zhang,Kanae Kobayashi,Mamoru Oshiki"		ISME communications	3		45	2023/1/26	DOMESTIC	37137967	10.1038/s43705-023-00251-7		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37137967&retmode=xml
tracking-2863	moshikinnct	押木 守	"oshiki,mamoru"	Growth of the Nitrosomonas europaea cells in the biofilm and planktonic growth mode: Responses of extracellular polymeric substances production and transcriptome	"Mamoru Oshiki, Takahiro Saito, Yuki Nakaya, Hisashi Satoh, Satoshi Okabe"		J Biosci Bioeng .	136		430-437		INTERNATIONAL	37925312			https://pubmed.ncbi.nlm.nih.gov/37925312/
tracking-2863	moshikinnct	押木 守	"oshiki,mamoru"	Collaborative metabolisms of urea and cyanate degradation in marine anammox bacterial culture.	"Mamoru Oshiki,Emi Morimoto,Kanae Kobayashi,Hisashi Satoh,Satoshi Okabe"		ISME communications	4		ycad007	2023/11/27	DOMESTIC	38304081	10.1093/ismeco/ycad007		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=38304081&retmode=xml
tracking-2877	gifu-u-yamamoto	山本 容正	"Yamamoto,Yoshimasa"	Comparative genome analysis of colistin-resistant Escherichia coli harboring mcr isolated from rural community residents in Ecuador and Vietnam	"Thanh Hoang, H. T. Yamamoto, M. Calvopina, M. Bastidas-Caldes, C. Khong, D. T. Nguyen, T. N. Kawahara, R. Yamaguchi, T. Yamamoto, Y."		PLoS One					INTERNATIONAL		10.1371/journal.pone.0293940		
tracking-2898	tnara	奈良 拓也	"NARA,TAKUYA"	Identification of anisotropy in chromosome dynamics by principal component analysis using integrated spatial genomics	"Takuya Nara, Haruko Takahashi, Akinori Awazu, Yutaka Kikuchi"	"奈良拓也, 高橋治子, 粟津暁紀, 菊池裕"	bioRxiv					INTERNATIONAL		https://doi.org/10.1101/2024.01.27.577362 		
tracking-2855	sasanoyu	笹野 佑	"SASANO,YU"	"Spathaspora quercus f.a., sp. nov., a novel yeast isolated from rotting wood and a lichen sample in Kyushu region, Japan."	"Ayuki Hamaguchi,Katsuhiro Umeshita,Hisataka Taguchi,Yu Sasano"		International journal of systematic and evolutionary microbiology	74			2024/1/30	DOMESTIC	38285485	10.1099/ijsem.0.006254	熊本の朽木から単離した新奇Spathaspora属酵母の新種登録論文。ドラフトゲノム配列の解読（ベースコール、アセンブル、ポリッシュ）、ANI値計算などにNIGスパコンを使用した。論文の謝辞にも記載した。	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=38285485&retmode=xml
tracking-2858	ykatayama	片山 雄太	"Katayama,Yuta"	無し	無し		無し					INTERNATIONAL				
tracking-2860	kazunori	山田 和範	"Yamada,Kazunori"	今年はありません	著者無		ないです					INTERNATIONAL				
tracking-2861	a03m085_macbook	真里谷 奨	"Mariya,Tasuku"	なし	なし		なし					INTERNATIONAL				
tracking-2868	miyahara-chiba	宮原 平	"Miyahara,Taira"	Multi-omics analyses of non-GM tomato scion engrafted on GM rootstocks.	"Takumi Ogawa, Kanae Kato, Harue Asuka, Yumi Sugioka, Tomofumi Mochizuki, Takumi Nishiuchi, Taira Miyahara, Hiroaki Kodama, Daisaku Ohta"		Food Safety	11	3	41-53		INTERNATIONAL		https://doi.org/10.14252/foodsafetyfscj.d-23-00005		
tracking-2868	miyahara-chiba	宮原 平	"Miyahara,Taira"	A Thermophile-Fermented Compost Modulates Intestinal Cations and the Expression of a Juvenile Hormone-Binding Protein Gene in the Female Larvae of Hercules Beetle Dynastes hercules (Coleoptera: Scarabaeidae) 	"Futo Asano, Taira Miyahara, Hirokuni Miyamoto, Hiroaki Kodama"		Insects	14	12	910		INTERNATIONAL				
tracking-2868	miyahara-chiba	宮原 平	"Miyahara,Taira"	Translocation of a luciferase protein beyond graft junction in tobacco	"Taira Miyahara, Hitomi Ohkubo, Yukiko Umeyama, Taichi Oguchi, Takumi Ogawa, Daisaku Ohta, Tomofumi Mochizuki, Hiroaki Kodama"		Food Safety					INTERNATIONAL				
tracking-2873	andrea	Ghelfi Andrea	"Ghelfi,Andrea"	"Cloning, expression, molecular modelling and docking analysis of glutathione transferase from Saccharum officinarum"	"A. Ghelfi, S.A. Gaziola, M.C. Cia, S.M. Chabregas, M.C. Falco, P.R. Kuser-Falcao, R.A. Azevedo"		Annals of Applied Biology	159	2	267-280	2011/7/20	INTERNATIONAL		 https://doi.org/10.1111/j.1744-7348.2011.00491.x	"Sugarcane yield and quality are affected by a number of biotic and abiotic stresses. In response to such stresses, plants may increase the activities of some enzymes such as glutathione transferase (GST), which are involved in the detoxification of xenobiotics. Thus, a sugarcane GST was modelled and molecular docked using the program LIGIN to investigate the contributions of the active site residues towards the binding of reduced glutathione (GSH) and 1-chloro-2,4-dinitrobenzene (CDNB). As a result, W13 and I119 were identified as key residues for the specificity of sugarcane GSTF1 (SoGSTF1) towards CDNB. To obtain a better understanding of the catalytic specificity of sugarcane GST (SoGSTF1), two mutants were designed, W13L and I119F. Tertiary structure models and the same docking procedure were performed to explain the interactions between sugarcane GSTs with GSH and CDNB. An electron-sharing network for GSH interaction was also proposed. The SoGSTF1 and the mutated gene constructions were cloned and expressed in Escherichia coli and the expressed protein purified. Kinetic analyses revealed different Km values not only for CDNB, but also for GSH. The Km values were 0.2, 1.3 and 0.3 mM for GSH, and 0.9, 1.2 and 0.5 mM for CDNB, for the wild type, W13L mutant and I119F mutant, respectively. The Vmax values were 297.6, 224.5 and 171.8 μmol min?1 mg?1 protein for GSH, and 372.3, 170.6 and 160.4 μmol min?1 mg?1 protein for CDNB."	https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1744-7348.2011.00491.x
tracking-2884	cromagnon	Cronin Adam	"null,null"	To disperse or compete? Coevolution of traits leads to a limited number of reproductive strategies	"Planas-Sitja, I., Monnin, T., Loeuille, N. & Cronin, A. L."		oikos					INTERNATIONAL		10.1111/oik.09972		
tracking-2885	makikoyorifuji	依藤 実樹子	"Yorifuji,Makiko"	ムカデミノウミウシ属のミトゲノム進化	Makiko Yorifuji et al.		未定					INTERNATIONAL			ムカデミノウミウシ属のミトゲノムには加速進化の可能性が考えられており、ミトゲノムの記載とともに進化過程を考察する。既知のミトゲノムとの相同性が低いため、証明に時間を要している。	
tracking-2886	akinobu-matsumo	松本 有樹修	"Matsumoto,Akinobu"	RPL3L-containing ribosomes determine translation elongation dynamics required for cardiac function.	"Chisa Shiraishi,Akinobu Matsumoto,Kazuya Ichihara,Taishi Yamamoto,Takeshi Yokoyama,Taisuke Mizoo,Atsushi Hatano,Masaki Matsumoto,Yoshikazu Tanaka,Eriko Matsuura-Suzuki,Shintaro Iwasaki,Shouji Matsushima,Hiroyuki Tsutsui,Keiichi I Nakayama"		Nature communications	14		2131	2022/7/12	INTERNATIONAL	37080962	10.1038/s41467-023-37838-6		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37080962&retmode=xml
tracking-2886	akinobu-matsumo	松本 有樹修	"Matsumoto,Akinobu"	The ASC-1 complex promotes translation initiation by scanning ribosomes.	"Yuki Kito,Akinobu Matsumoto,Kazuya Ichihara,Chisa Shiraishi,Ronghao Tang,Atsushi Hatano,Masaki Matsumoto,Peixun Han,Shintaro Iwasaki,Keiichi I Nakayama"		The EMBO journal	42		e112869	2023/3/18	INTERNATIONAL	37092320	10.15252/embj.2022112869		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37092320&retmode=xml
tracking-2904	kakutani	角谷 徹仁	"kakutani,tetsuji"	Cotranscriptional demethylation induces global loss of H3K4me2 from active genes in Arabidopsis.	"Shusei Mori,Satoyo Oya,Mayumi Takahashi,Kazuya Takashima,Soichi Inagaki,Tetsuji Kakutani"		The EMBO journal	42		e113798	2023/9/20	DOMESTIC	37849386	10.15252/embj.2023113798		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37849386&retmode=xml
tracking-2904	kakutani	角谷 徹仁	"kakutani,tetsuji"	Arms race between anti-silencing and RdDM in noncoding regions of transposable elements.	"Taku Sasaki,Kae Kato,Aoi Hosaka,Yu Fu,Atsushi Toyoda,Asao Fujiyama,Yoshiaki Tarutani,Tetsuji Kakutani"		EMBO reports	24		e56678	2023/5/12	DOMESTIC	37272687	10.15252/embr.202256678		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37272687&retmode=xml
tracking-2890	debalab	岡 香織	"Oka ,Kaori"	Cellular senescence induction leads to progressive cell death via the INK4a-RB pathway in naked?mole-rats.	"Yoshimi Kawamura,Kaori Oka,Takashi Semba,Mayuko Takamori,Yuki Sugiura,Riyo Yamasaki,Yusuke Suzuki,Takeshi Chujo,Mari Nagase,Yuki Oiwa,Shusuke Fujioka,Sayuri Homma,Yuki Yamamura,Shingo Miyawaki,Minoru Narita,Takaichi Fukuda,Yusuke Sakai,Takatsugu Ishimoto,Kazuhito Tomizawa,Makoto Suematsu,Takuya Yamamoto,Hidemasa Bono,Hideyuki Okano,Kyoko Miura"		The EMBO journal	42		e111133	2023/5/4	DOMESTIC	37431790	10.15252/embj.2022111133		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37431790&retmode=xml
tracking-2895	kuniedat	國枝 武和	"Kunieda,Takekazu"	Considerations on the TardiVec-based analyses of tissue specificity and desiccation-induced supramolecular structure of target proteins.	"Akihiro Tanaka,Takekazu Kunieda"		Proceedings of the National Academy of Sciences of the United States of America	120		e2312563120	2023/11/27	DOMESTIC	37983508	10.1073/pnas.2312563120		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37983508&retmode=xml
tracking-2895	kuniedat	國枝 武和	"Kunieda,Takekazu"	Single-step generation of homozygous knock-out/knock-in individuals in an extremotolerant parthenogenetic tardigrade using DIPA-CRISPR	"Koyuki Kondo, Akihiro Tanaka, Takekazu Kunieda"		bioRxiv				2024/1/11	INTERNATIONAL		10.1101/2024.01.10.575120		https://www.biorxiv.org/content/10.1101/2024.01.10.575120v1
tracking-2895	kuniedat	國枝 武和	"Kunieda,Takekazu"	The major inducible small heat shock protein HSP20-3 in the tardigrade Ramazzottius varieornatus forms filament-like structures and is an active chaperone.	"Mohammad Al-Ansari,Taylor Fitzsimons,Wenbin Wei,Martin W Goldberg,Takekazu Kunieda,Roy A Quinlan"		Cell stress & chaperones	29		51-65	2023/11/28	DOMESTIC	38330543	10.1016/j.cstres.2023.12.001		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=38330543&retmode=xml
tracking-2911	ykato	加藤 有己	"Kato,Yuki"	RNA editing of AZIN1 coding sites is catalyzed by ADAR1 p150 after splicing.	"Yanfang Xing,Taisuke Nakahama,Yuke Wu,Maal Inoue,Jung In Kim,Hiroyuki Todo,Toshiharu Shibuya,Yuki Kato,Yukio Kawahara"		The Journal of biological chemistry	299	7	104840	2023/4/17	INTERNATIONAL	37209819	10.1016/j.jbc.2023.104840		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37209819&retmode=xml
tracking-2911	ykato	加藤 有己	"Kato,Yuki"	"A cancer-associated METTL14 mutation induces aberrant m6A modification, affecting tumor growth."	"Kotaro Miyake,Pedro Henrique Costa Cruz,Izumi Nagatomo,Yuki Kato,Daisuke Motooka,Shingo Satoh,Yuichi Adachi,Yoshito Takeda,Yukio Kawahara,Atsushi Kumanogoh"		Cell reports	42	7	112688	2022/1/26	INTERNATIONAL	37355987	10.1016/j.celrep.2023.112688		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37355987&retmode=xml
tracking-2913	asatoh	佐藤 耀弥	"Satoh,Akiya"	なし	なし		なし					INTERNATIONAL				
tracking-2916	kfujiwara	藤原 一道	"Fujiwara,Kazumichi"	Inference of Selective Force on House Mouse Genomes during Secondary Contact in East Asia	"Kazumichi Fujiwara, Shunpei Kubo, Toshinori Endo, Toyoyuki Takada, Toshihiko Shiroishi, Hitoshi Suzuki, Naoki Osada"		bioRxiv					INTERNATIONAL		https://doi.org/10.1101/2023.08.07.552211		
tracking-2917	kiwamuumezawa	梅澤 究	"Umezawa,Kiwamu"	無し	無し		無し					INTERNATIONAL				
tracking-2924	rgomi	五味 良太	"Gomi,Ryota"	Genomic surveillance of antimicrobial-resistant Escherichia coli in fecal sludge and sewage in Uganda.	"Ryota Gomi,Yasufumi Matsumura,Masaki Yamamoto,Mai Tanaka,Allan John Komakech,Tomonari Matsuda,Hidenori Harada"		Water research	248		120830	2023/5/23	INTERNATIONAL	37979567	10.1016/j.watres.2023.120830		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37979567&retmode=xml
tracking-2927	okishinya	沖 真弥	"Oki,Shinya"	Elucidating disease-associated mechanisms triggered by pollutants via the epigenetic landscape using large-scale ChIP-Seq data	"Zhaonan Zou, Yuka Yoshimura, Yoshihiro Yamanishi, Shinya Oki"		10.1186/s13072-023-00510-w	16		34	2023/9/25	INTERNATIONAL	37743474			
tracking-2926	skamakura	鎌倉 史帆	"Kamakura,Shiho"	Transcriptional responses to salinity-induced changes in cell wall morphology of the euryhaline diatom Pleurosira laevis	"Shiho Kamakura, Gust Bilcke, Shinya Sato"		Journal of Phycology					INTERNATIONAL		10.1111/jpy.13437		
tracking-2945	ku-bo	久保 稔	"Kubo,Minoru"	Expression of peat moss VASCULAR RELATED NAC-DOMAIN homologs in Nicotiana benthamiana leaf cells induces ectopic secondary wall formation.	"Shiori Terada,Minoru Kubo,Nobuhiro Akiyoshi,Ryosuke Sano,Toshihisa Nomura,Shinichiro Sawa,Misato Ohtani,Taku Demura"		Plant molecular biology	106		309-317	2020/8/2	INTERNATIONAL	33881701	10.1007/s11103-021-01148-6		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=33881701&retmode=xml
tracking-2945	ku-bo	久保 稔	"Kubo,Minoru"	Single-cell transcriptome analysis of Physcomitrella leaf cells during reprogramming using microcapillary manipulation.	"Minoru Kubo,Tomoaki Nishiyama,Yosuke Tamada,Ryosuke Sano,Masaki Ishikawa,Takashi Murata,Akihiro Imai,Daniel Lang,Taku Demura,Ralf Reski,Mitsuyasu Hasebe"		Nucleic acids research	47		4539-4553	2019/3/8	INTERNATIONAL	30873540	10.1093/nar/gkz181		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=30873540&retmode=xml
tracking-2947	mon0321	門田 有希	"Monden,Yuki"	A target cultivar-specific identification system based on the chromatographic printed array strip method for eight prominent Japanese citrus cultivars.	"Okamoto, M., Monden, Y., Shindo, A., Takeuchi, T., Endo, T., Shigematsu, Y., Takasaki, K., Fujii, H. and Shimada, T."		Breeding Science					INTERNATIONAL				
tracking-2932	imochi	足助 聡一郎	"Asuke,Soichiro"	"Loss of PWT7, Located on a Supernumerary Chromosome, Is Associated with Parasitic Specialization of Pyricularia oryzae on Wheat."	"Soichiro Asuke,Akiko Horie,Kaori Komatsu,Ryota Mori,Trinh Thi Phuong Vy,Yoshihiro Inoue,Yushan Jiang,Yuna Tatematsu,Motoki Shimizu,Yukio Tosa"		Molecular plant-microbe interactions : MPMI	36		716-725	2023/12/4	INTERNATIONAL	37432132	10.1094/MPMI-06-23-0078-R		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=37432132&retmode=xml
tracking-2932	imochi	足助 聡一郎	"Asuke,Soichiro"	Correlation of Genomic Compartments with Contrastive Modes of Functional Losses of Host Specificity Determinants During Pathotype Differentiation in Pyricularia oryzae.	"Soichiro Asuke,Nicole John Magculia,Yoshihiro Inoue,Trinh Thi Phuong Vy,Yukio Tosa"		Molecular plant-microbe interactions : MPMI	34		680-690	2021/2/2	INTERNATIONAL	33522841	10.1094/MPMI-12-20-0339-R		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=33522841&retmode=xml
