tracking_id	uid	accountNameJa	accountNameEn	title	authors	authorsJa	journal	volume	number	pages	publicationDate	journalType	pubmedId	doi	
tracking-591	thayashi	林 俊宏	"Hayashi,Toshihiro"	Idiopathic rapid eye movement sleep behavior disorder in Japan: An observational study	"Noriko Nishikawa  1 , Miho Murata  2 , Taku Hatano  3 , Yohei Mukai  2 , Yuji Saitoh  2 , Takashi Sakamoto  2 , Takashi Hanakawa  4 , Yuichi Kamei  5 , Hisateru Tachimori  6 , Kenji Hatano  6 , Hiroshi Matsuda  4 , Yosuke Taruno  7 , Nobukatsu Sawamoto  7 , Yuta Kajiyama  8 , Kensuke Ikenaka  8 , Kazuya Kawabata  9 , Tomohiko Nakamura  10 , Hirotaka Iwaki  11 , Hiroshi Kadotani  12 , Yukiyoshi Sumi  12 , Yuichi Inoue  13 , Toshihiro Hayashi  14 , Takeshi Ikeuchi  15 , Yasushi Shimo  16 , Hideki Mochizuki  8 , Hirohisa Watanabe  17 , Nobutaka Hattori  3 , Yuji Takahashi  2 , Ryosuke Takahashi  7 ; "		Parkinsonism Relat Disord . 				2022-09-08	INTERNATIONAL	36113390		
tracking-601	akatsumata	勝又 明子	"Katsumata,Akiko"	無し	無し		無し					DOMESTIC			
tracking-602	akatsu02	勝又 明子	"Katsumata,Akiko"	無し	無し		無し					DOMESTIC			
tracking-603	a-katsumata	勝又 明子	"Katsumata,Akiko"	無し	無し		無し					DOMESTIC			
tracking-615	tkhs	高橋 卓也	"TAKAHASHI,TAKUYA"	分子動力学計算プログラム の開発と蛋白質液滴様集合 体の形 態解析への応用	寺澤裕樹　笠原浩太　高橋卓也	寺澤裕樹　笠原浩太　高橋卓也	アンサンブル	24	4	194-199	2022-10-01	DOMESTIC			
tracking-623	daikisato177	佐藤 大気	"Sato,Daiki"	Humanized substitutions of Vmat1 in mice alter amygdala-dependent behaviors associated with the evolution of anxiety	"Daiki X. Sato, Yukiko U. Inoue, Nahoko Kuga, Satoko Hattori, Kensaku Nomoto, Yuki Morimoto, Giovanni Sala, Hideo Hagihara, Takefumi Kikusui, Takuya Sasaki, Yuji Ikegaya, Tsuyoshi Miyakawa, Takayoshi Inoue, Masakado Kawata"	"佐藤大気, 井上（上野）由紀子, 久我奈穂子, 服部聡子, 野元謙作, 森本由 起, Giovanni Sala, 萩原英雄, 菊水健史, 佐々木拓哉, 池谷裕二, 宮川剛, 井上 高良, 河田雅圭"	iScience	25	8	104800	2022-08-19	INTERNATIONAL	35992083	10.1016/j.isci.2022.104800	
tracking-641	masakadokawata	河田 雅圭	"Kawata,Masakado"	Draft genome of six Cuban Anolis lizards and insights into genetic changes during their diversification.	" Kanamori, S., Luis M. D?az, A. C?diz, K. Yamaguchi, S. Shigenobu, M. Kawata"		BMC Ecology and Evolution	22		129	2023-10-31	INTERNATIONAL		10.1186/s12862-022-02086-7	
tracking-647	weed	岩上 哲史	"Iwakami,Satoshi"	なし	なし		なし					DOMESTIC			
tracking-648	yoshi-tanaka	田中 義行	"tanaka,yoshiyuki"	"Morphological and gene expression characterization of maf-1, a floral chili pepper mutant caused by a nonsense mutation in CaLFY"	"Yoshiyuki Tanaka, Mizuki Yokota, Naoto Goto, Tanjuro Goto, Yuichi Yoshida, Ken-ichiro Yasuba, Sho Ohno & Motoaki Doi "		Molecular Breeding					INTERNATIONAL			
tracking-662	junna-kawasaki	川崎 純菜	"Kawasaki,Junna"	Convergent evolution of antiviral machinery derived from endogenous retrovirus truncated envelope genes in multiple species	"Ariko Miyake, Minh Ha Ngo, Shelly Wulandari, Masayuki Shimojima, So Nakagawa, Junna Kawasaki, Kazuo Nishigaki"		Proc Natl Acad Sci U S A.					INTERNATIONAL		10.1073/pnas.2114441119	
tracking-662	junna-kawasaki	川崎 純菜	"Kawasaki,Junna"	Large-scale investigation of zoonotic viruses in the era of high-throughput sequencing.	"Junna Kawasaki,Keizo Tomonaga,Masayuki Horie"		Microbiology and immunology	67		1-13	2022-09-28	INTERNATIONAL	36259224	10.1111/1348-0421.13033	
tracking-662	junna-kawasaki	川崎 純菜	"Kawasaki,Junna"	Bioinformatics approaches for unveiling virus-host interactions	"Hitoshi Iuchi, Junna Kawasaki, Kento Kubo, Tsukasa Fukunaga, Koki Hokao, Gentaro Yokoyama, Akiko Ichinose, Kanta Suga, Michiaki Hamada"		Comput Struct Biotechnol J .					INTERNATIONAL		10.1016/j.csbj.2023.02.044	
tracking-669	yuyatsukamoto	塚本 雄也	"TSUKAMOTO,YUYA"	Mineralogical and Genomic Constraints on the Origin of Microbial Mn Oxide Formation in Complexed Microbial Community at the Terrestrial Hot Spring	"Yuya Tsukamoto, Takeshi Kakegawa"	"塚本雄也, 掛川武"	Life (Basel)	12	6	816	2022-05-30	INTERNATIONAL	35743847	doi: 10.3390/life12060816	
tracking-677	satoken	佐藤 健吾	"Sato,Kengo"	Direct inference of base-pairing probabilities with neural networks improves prediction of RNA secondary structures with pseudoknots	"Manato Akiyama, Yasubumi Sakakibara, Kengo Sato"		Genes	13	11	2155	2022-11-18	INTERNATIONAL	36421829	10.3390/genes13112155	
tracking-679	tsakamoto	坂本 卓磨	"Sakamoto,Takuma"	Nutritional and metabolic process of the dung beetle Phelotrupes auratus depends on the plant ingredients that the herbivores eat	"Takuma Sakamoto, Shun Sinzeki, Shunsuke Kakinuma, Eri Ishihara & Hiroko Tabunoki "		BMC Genomics					INTERNATIONAL	36371160		
tracking-682	aoki-kh	青木 和久	"Aoki,Kazuhisa"	無し	無し		無し					DOMESTIC			
tracking-698	tmurakami	村上 匠	"Murakami,Takumi"	Metagenomics reveals global-scale contrasts in nitrogen cycling and cyanobacterial light-harvesting mechanisms in glacier cryoconite	"Takumi Murakami, Nozomu Takeuchi, Hiroshi Mori, Yuu Hirose, Arwyn Edwards, Tristram Irvine-Fynn, Zhongqin Li, Satoshi Ishii, Takahiro Segawa"		Microbiome	10		50	2022-03-23	INTERNATIONAL		10.1186/s40168-022-01238-7	
tracking-703	mise-33	美世 一守	"Mise,Kazumori"	Unexpected absence of ribosomal protein genes from metagenome-assembled genomes	"Kazumori Mise, Wataru Iwasaki "		ISME Communications	2		118	2022-11-28	INTERNATIONAL		https://doi.org/10.1038/s43705-022-00204-6	
tracking-703	mise-33	美世 一守	"Mise,Kazumori"	Global soil metagenomics reveals ubiquitous yet previously-hidden predominance of Deltaproteobacteria in nitrogen-fixing microbiome	"Yoko Masuda, Kazumori Mise, Zhenxing Xu, Zhengcheng Zhang, Yutaka Shiratori, Keishi Senoo, Hideomi Itoh"		bioRxiv				2022-12-10	INTERNATIONAL			
tracking-704	hokuno	奥野 浩行	"Okuno,Hiroyuki"	Claustrum mediates bidirectional and reversible control of stress-induced anxiety responses	"Niu M, Kasai A, Tanuma M, Seiriki K, Igarashi H, Kuwaki T, Nagayasu K, Miyaji K, Ueno H, Tanabe W, Seo K, Yokoyama R, Ohkubo J, Ago Y, Hayashida M, Inoue KI, Takada M, Yamaguchi S, Nakazawa T, Kaneko S, Okuno H, Yamanaka A, Hashimoto H."		Science Advances	8	11	eabi6375	2022-03-18	INTERNATIONAL	35302853	10.1126/sciadv.abi6375	
tracking-705	zou	鄒 兆南	"Zou,Zhaonan"	Cross-ancestry genome-wide analysis of atrial fibrillation unveils disease biology and enables cardioembolic risk prediction	"Miyazawa K, Ito K, Ito M, Zou Z, Kubota M, Nomura S, Matsunaga H, Koyama S, Ieki H, Akiyama M, Koike Y, Kurosawa R, Yoshida H, Ozaki K, Onouchi Y; BioBank Japan Project; Takahashi A, Matsuda K, Murakami Y, Aburatani H, Kubo M, Momozawa Y, Terao C, Oki S, Akazawa H, Kamatani Y, Komuro I."		Nature Genetics	55	2	187?197	2023-01-19	INTERNATIONAL	36653681	10.1038/s41588-022-01284-9	
tracking-706	takeru-oka	岡 毅寛	"Oka,Takeru"	Ablation of p57+ Quiescent Cancer Stem Cells Suppresses Recurrence After Chemotherapy of Intestinal Tumors	"Takeru Oka, Tsunaki Higa, Osamu Sugahara, Daisuke Koga, Shogo Nakayama, Keiichi I Nakayama"		Cancer Research					INTERNATIONAL			
tracking-711	kyoshita	吉武 和敏	"Yoshitake,Kazutoshi"	Construction of a chromosome-level Japanese stickleback species genome using ultra-dense linkage analysis with single-cell sperm sequencing	"Kazutoshi Yoshitake, Asano Ishikawa, Ryo Yonezawa, Shigeharu Kinoshita, Jun Kitano, Shuichi Asakawa"		NAR Genom Bioinform					INTERNATIONAL	35372836		
tracking-712	tikuta	生田 達也	"IKUTA,TATSUYA"	Identification and Functional Characterization of Fungal Chalcone Synthase and Chalcone Isomerase	"Sho Furumura, Taro Ozaki, Akihiro Sugawara, Yohei Morishita, Kento Tsukada, Tatsuya Ikuta, Asuka Inoue, and Teigo Asai"		Journal of Natural Products					INTERNATIONAL	36762727	https://doi.org/10.1021/acs.jnatprod.2c01027	
tracking-728	neurogenet	大野 欽司	"Ohno,Kinji"	なし	なし		なし					DOMESTIC			
tracking-731	mmatsunami	松波 雅俊	"Matsunami,Masatoshi"	"Gene structure analysis of chemokines and their receptors in allotetoraploidy frog, Xenopus laevis."	"Fukui A, and Matsunami M"		Frontiers in Genetics				2022-01-20	INTERNATIONAL	35126458	10.3389/fgene.2021.787979	
tracking-731	mmatsunami	松波 雅俊	"Matsunami,Masatoshi"	Transcriptomics on Social Interactions in Termites: Effects of Soldier Presence	"Matsunami M, Watanabe D, Fujiwara K, Hayashi Y, Shigenobu S, Miura T, Maekawa K."		Frontiers in Ecology and Evolution				2022-06-27	INTERNATIONAL		10.3389/fevo.2022.924151/	
tracking-733	kichimura	市村 和也	"Ichimura,Kazuya"	Simultaneous mutations in SMN1 and SUMM2 fully suppress the dwarf and autoimmune phenotypes of Arabidopsis mpk4 mutant	"Momoko Takagi, Suzuna Nagai, Hironori Kaminaka, Kazuya Akimitsu, Ken Shirasu, Kazuya Ichimura"		Plant Signaling & Behavior 	17		2046412	2022-03-30	INTERNATIONAL	35350957	10.1080/15592324.2022.2046412	
tracking-743	efukai	深井 英吾	"Fukai,Eigo"	Widespread and transgenerational retrotransposon activation in inter- and intraspecies recombinant inbred populations of Lotus japonicus 	"Eigo Fukai, Manabu Yoshikawa, Niraj Shah, Niels Sandal, Akio Miyao, Seijiro Ono, Hideki Hirakawa, Turgut Yigit Akyol, Yosuke Umehara, Ken-Ichi Nonomura, Jens Stougaard, Hirohiko Hirochika, Makoto Hayashi, Shusei Sato, Stig Uggerh?j Andersen, Keiichi Okazaki"		The Plant Journal					INTERNATIONAL	35792830	10.1111/tpj.15896 	
tracking-744	zhzjxx	張 歓	"Zhang,Huan"	An immune-suppressing protein in human endogenous retroviruses	"HUAN ZHANG, Shengliang Ni, Martin C Frith"	張歓 	Bioinformatics Advances	3	1		2023-02-02	INTERNATIONAL	36818731	10.1093/bioadv/vbad013	
tracking-752	efukai	深井 英吾	"Fukai,Eigo"	Widespread and transgenerational retrotransposon activation in inter- and intraspecies recombinant inbred populations of Lotus japonicus	"Eigo Fukai, Manabu Yoshikawa, Niraj Shah, Niels Sandal, Akio Miyao, Seijiro Ono, Hideki Hirakawa, Turgut Yigit Akyol, Yosuke Umehara, Ken-Ichi Nonomura, Jens Stougaard, Hirohiko Hirochika, Makoto Hayashi, Shusei Sato, Stig Uggerh?j Andersen, Keiichi Okazaki"		The Plant Journal					INTERNATIONAL	35792830	 10.1111/tpj.15896 	
tracking-756	sr304016	孫 思墨	"Sun,Simo"	"The compact genome of Caenorhabditis niphades n. sp., isolated from a wood-boring weevil, Niphades variegatus"	"Simo Sun, Natsumi Kanzaki, Mehmet Dayi, Yasunobu Maeda, Akemi Yoshida, Ryusei Tanaka & Taisei Kikuchi"		BMC Genomics					DOMESTIC			
tracking-764	toshi3361	高井 俊之	"Takai,Toshiyuki"	Effects of quantitative trait locus MP3 on the number of panicles and rice productivity in nutrient-poor soils of Madagascar	"Toshiyuki Takai, Mitsukazu Sakata, Njato M. Rakotoarisoa, Ny Toky Razafinarivo, Tomohiro Nishigaki, Hidetoshi Asai, Takuma Ishizaki, Yasuhiro Tsujimoto"		Crop Science	61	1	519-528	2021-01-01	INTERNATIONAL			
tracking-766	onoyuki	小野 幸輝	"ono,yukiteru"	PBSIM3: a simulator for all types of PacBio and ONT long reads.	"ONO, Yukiteru; HAMADA, Michiaki; ASAI, Kiyoshi"	小野幸輝、浜田道昭、浅井潔	NAR Genomics and Bioinformatics	4	4	lqac092	2022-12-01	INTERNATIONAL	36465498	https://doi.org/10.1093/nargab/lqac092	
tracking-772	bonohu	坊農 秀雅	"Bono,Hidemasa"	A highly contiguous genome assembly of red perilla (Perilla frutescens) domesticated in Japan	"Tamura K, Sakamoto M, Tanizawa Y, Mochizuki T, Matsushita S, Kato Y, Ishikawa T, Okuhara K, Nakamura Y, Bono H."		DNA Research	30	1	dsac044		INTERNATIONAL	36383440	10.1093/dnares/dsac044	
tracking-776	labgenet_kyoto	横井 伯英	"Yokoi,Norihide"	なし	なし		なし					DOMESTIC			
tracking-783	kakutani	角谷 徹仁	"kakutani,tetsuji"	Transcription-coupled and epigenome-encoded mechanisms direct H3K4 methylation	"Satoyo Oya, Mayumi Takahashi, Kazuya Takashima, Tetsuji Kakutani, Soichi Inagaki "		Nat Commun	13	1	4521	2022-08-11	INTERNATIONAL	35953471	10.1038/s41467-022-32165-8	
tracking-787	naoko-fujiwara	藤原 奈央子	"fujiwara,naoko"	MPP6 stimulates both RRP6 and DIS3 to degrade a specified subset of MTR4-sensitive substrates in the human nucleus	"Naoko Fujiwara, Maki Shigemoto, Mizuki Hirayama, Ken-Ichi Fujita, Shigeto Seno, Hideo Matsuda, Masami Nagahama, Seiji Masuda"		Ncleic Acids Research	50	15	8779-8806	2022-08-26	INTERNATIONAL	35902094	10.1093/nar/gkac559	
tracking-792	yokomori	横森 類	"Yokomori,Rui"	Case report: Genomic analysis of a therapy-related chronic myelomonocytic leukemia with KMT2A rearrangement that progressed to acute myeloid leukemia with acute promyelocytic leukemia-like features	"Tomotaka Suzuki, Rui Yokomori, Takaomi Sanda, Takaki Kikuchi, Yoshiaki Marumo, Shiori Kinoshita, Tomoko Narita, Ayako Masaki, Asahi Ito, Masaki Ri, Shigeru Kusumoto, Hirokazu Komatsu, Hiroshi Inagaki, Shinsuke Iida"		Frontiers in Oncology					INTERNATIONAL	36874114	10.3389/fonc.2023.1116418	
tracking-793	yangzeng0908	YANG ZENG	"YANG,ZENG"	なし	なし		なし					DOMESTIC			
tracking-809	iwasakiw	岩崎 渉	"Iwasaki,Wataru"	Machine learning enables prediction of metabolic system evolution in bacteria.	Naoki Konno and Wataru Iwasaki.		Science Advances					INTERNATIONAL	36630500	10.1126/sciadv.adc9130	
tracking-809	iwasakiw	岩崎 渉	"Iwasaki,Wataru"	Unexpected absence of ribosomal protein genes from metagenome-assembled genomes.	Kazumori Mise and Wataru Iwasaki.		ISME Communications					INTERNATIONAL		10.1038/s43705-022-00204-6	
tracking-809	iwasakiw	岩崎 渉	"Iwasaki,Wataru"	Mirage 2.0: fast and memory-efficient reconstruction of gene-content evolution considering heterogeneous evolutionary patterns among gene families.	Tsukasa Fukunaga and Wataru Iwasaki.		Bioinformatics					INTERNATIONAL	35771653	10.1093/bioinformatics/btac433	
tracking-817	motegi11235	茂木 朋貴	"Motegi,Tomoki"	mRNA sequencing analysis and growth inhibitory effects of palbociclib on cell lines from canine histiocytic proliferative disorders.	"Miyuki Hirabayashi,James K Chambers,Akiyoshi Tani,Hirotaka Tomiyasu,Tomoki Motegi,Kenji Rimpo,Hiroyuki Nakayama,Kazuyuki Uchida"		Veterinary and comparative oncology	20		587-601	2022-03-09	INTERNATIONAL	35278028	10.1111/vco.12812	
tracking-817	motegi11235	茂木 朋貴	"Motegi,Tomoki"	Dystrophin-deficient muscular dystrophy in a Toy Poodle with a single base pair insertion in exon 45 of the Duchenne muscular dystrophy gene	"Sakai K, Motegi T, Chambers JK, Uchida K, Nishida H, Shimamura S, Tani H, Shimada T, Furuya M."		 J Vet Med Sci				2022-02-08	INTERNATIONAL	35135937		
tracking-817	motegi11235	茂木 朋貴	"Motegi,Tomoki"	Anti-CCR4 treatment depletes regulatory T cells and leads to clinical activity in a canine model of advanced prostate cancer	"Maeda S, Motegi T, Iio A, Kaji K, Goto-Koshino Y, Eto S, Ikeda N, Nakagawa T, Nishimura R, Yonezawa T, Momoi Y."		J Immunother Cancer				2022-02-10	INTERNATIONAL	35131860		
tracking-820	k-yahara	矢原 耕史	"Yahara,Koji"	Repeated out-of-Africa expansions of Helicobacter pylori driven by replacement of deleterious mutations 	"Daniel Falush, Harry Thorpe, Elise Tourrette, Koji Yahara, Filipa Vale, Siqi Liu, Monica Oleastro, Teresa Alarcon, Tsachi Perets, Saeid Latifi-Navid, Yoshio Yamaoka, Beatriz Martinez-Gonzalez, Ioannis Karayiannis, Timokratis Karamitros, Dionyssios Sgouras, Wael Elamin, Ben Pascoe, Samuel Sheppard, Jukka Ronkainen, Pertti Aro, Lars Engstrand, Lars Agreus, Sebastian Suerbaum, and Kaisa Thorell "		Nature Communications					INTERNATIONAL	36369175	10.1038/s41467-022-34475-3 	
tracking-820	k-yahara	矢原 耕史	"Yahara,Koji"	Whole blood transcriptome profiling identifies gene expression subnetworks and a key gene characteristic of the rare type of osteomyelitis	"Hiroko Yahara, Souichi Yanamoto, Miho Takahashi, Yuji Hamada, Haruo Sakamoto, Takuya Asaka, Yoshimasa Kitagawa, Kuniyasu Moridera, Kazuma Noguchi, Masaya Sugiyama, Yutaka Maruoka, Koji Yahara"		Biochem Biophys Rep					INTERNATIONAL		10.1016/j.bbrep.2022.101328	
tracking-821	hiromics	鈴木 啓道	"Suzuki,Hiromichi"	Recent advances in the molecular understanding of medulloblastoma	"Yusuke Funakoshi , Yuriko Sugihara , Atsuhito Uneda , Takuma Nakashima , Hiromichi Suzuki "		Cancer Science					DOMESTIC	36520034		
tracking-828	yrsg	杉原 由利子	"Sugihara,Yuriko"	Recent advances in the molecular understanding of medulloblastoma	"Yusuke Funakoshi, Yuriko Sugihara, Atsuhito Uneda, Takuma Nakashima, Hiromichi Suzuk"		Cancer science	114	3	741-749	2023-03-15	INTERNATIONAL	36520034	10.1111/cas.15691	
tracking-829	harukao	尾崎 遼	"Ozaki,Haruka"	CCPLS reveals cell-type-specific spatial dependence of transcriptomes in single cells	"Takaho Tsuchiya, Hiroki Hori, Haruka Ozaki"		Bioinformatics	38	21	4868?4877	2022-09-05	INTERNATIONAL	36063454	10.1093/bioinformatics/btac599	
tracking-831	tanganyika	高橋 鉄美	"Takahashi,Tetsumi"	Offspring mortality during mouthbrooding in two open-water spawning cichlids from Lake Tanganyika	Tetsumi Takahashi		Hydrobiologia				2022-10-19	INTERNATIONAL		https://doi.org/10.1007/s10750-022-05023-3	
tracking-834	nisihara	西原 秀典	"Nishihara,Hidenori"	Paleogenomics reveals independent and hybrid origins of two morphologically distinct wolf lineages endemic to Japan	"Takahiro Segawa, Takahiro Yonezawa, Hiroshi Mori, Ayako Kohno, Yuichiro Kudo, Ayumi Akiyoshi, Jiaqi Wu, Fuyuki Tokanai, Minoru Sakamoto, Naoki Kohno, Hidenori Nishihara"		Current Biology	32	11	2494-2504	2022-06-06	DOMESTIC	35537455	10.1016/j.cub.2022.04.034	
tracking-842	cromagnon	Cronin Adam	"null,null"	Differential gene expression correlates with behavioural polymorphism during collective behaviour in cockroaches	"Isaac Planas-Sitj?, Jean-Louis Deneubourg,Denis L. J. Lafontaine, Ludivine Wacheul and Adam L. Cronin"		Animals				2022-09-08	INTERNATIONAL		10.3390/ani12182354	
